RL129 quotient-bound verifier: PASS
L range=13..40
global_integer_quotient_limit=30400121 worst_L=39 worst_Z=23
L=13 positivity_Z=8 quotient_floor=403
L=14 positivity_Z=9 quotient_floor=338
L=15 positivity_Z=9 quotient_floor=1509
L=16 positivity_Z=10 quotient_floor=914
L=17 positivity_Z=10 quotient_floor=13008
L=18 positivity_Z=11 quotient_floor=2652
L=19 positivity_Z=12 quotient_floor=2414
L=20 positivity_Z=12 quotient_floor=8833
L=21 positivity_Z=13 quotient_floor=6375
L=22 positivity_Z=13 quotient_floor=43146
L=23 positivity_Z=14 quotient_floor=17811
L=24 positivity_Z=15 quotient_floor=17308
L=25 positivity_Z=15 quotient_floor=55036
L=26 positivity_Z=16 quotient_floor=44871
L=27 positivity_Z=16 quotient_floor=213474
L=28 positivity_Z=17 quotient_floor=121814
L=29 positivity_Z=17 quotient_floor=2587328
L=30 positivity_Z=18 quotient_floor=357039
L=31 positivity_Z=19 quotient_floor=318595
L=32 positivity_Z=19 quotient_floor=1218108
L=33 positivity_Z=20 quotient_floor=845251
L=34 positivity_Z=20 quotient_floor=6538683
L=35 positivity_Z=21 quotient_floor=2381808
L=36 positivity_Z=22 quotient_floor=2278708
L=37 positivity_Z=22 quotient_floor=7484047
L=38 positivity_Z=23 quotient_floor=5932914
L=39 positivity_Z=23 quotient_floor=30400121
L=40 positivity_Z=24 quotient_floor=16216346
